coverage	local_path	source_url	status
Normativa inglese concorsi	wiki/raw/chapter-11-inglese/inglese-normativa-concorsi.pdf	G:\Il mio Drive\PROGETTO CAPITALE PERSONALE SITO\PROG_LIBRO_CAPITALE PERSONALE\MATERIE_PDF\Inglese_Normativa_Concorsi.pdf	copiato
Normativa inglese concorsi testo estratto	wiki/raw/chapter-11-inglese/inglese-normativa-concorsi-extracted.txt	artifacts/inglese_normativa_concorsi_text.txt	copiato
QCER/CEFR	wiki/raw/chapter-11-inglese/cefr-companion-volume-2020.pdf	https://book.coe.int/en/attachment?id_attachment=2186	scaricato
Certificazioni linguistiche MIM	wiki/raw/chapter-11-inglese/mim-enti-certificatori-lingue-straniere-rev2.pdf	https://www.mim.gov.it/documents/20182/0/Elenco%2BEnti%2Bdi%2Bformazione%2Baccreditati_validati_rev2.pdf/9d9655d1-e6ae-b684-1e77-93f234075ebc?t=1734616264231	scaricato
Grammatica generale aperta	wiki/raw/chapter-11-inglese/brehes-grammar-anatomy-v2.pdf	https://ung.edu/university-press/_uploads/files/brehes-grammar-anatomy-v2.pdf	scaricato
Tempi verbali	wiki/raw/chapter-11-inglese/verb-tenses-for-english-for-academic-purposes.pdf	https://ecampusontario.pressbooks.pub/verbtenses/open/download?type=pdf	scaricato
Cambridge Grammar Today index	wiki/raw/chapter-11-inglese/cambridge-grammar-today-index.html	https://dictionary.cambridge.org/grammar/british-grammar/	scaricato
Articoli	wiki/raw/chapter-11-inglese/cambridge-articles.html	https://dictionary.cambridge.org/grammar/british-grammar/articles	scaricato
Date	wiki/raw/chapter-11-inglese/cambridge-dates.html	https://dictionary.cambridge.org/grammar/british-grammar/dates	scaricato
Modali	wiki/raw/chapter-11-inglese/cambridge-modality-forms.html	https://dictionary.cambridge.org/grammar/british-grammar/modality-forms	scaricato
Preposizioni	wiki/raw/chapter-11-inglese/cambridge-prepositions.html	https://dictionary.cambridge.org/grammar/british-grammar/prepositions	scaricato
Relativi	wiki/raw/chapter-11-inglese/cambridge-relative-pronouns.html	https://dictionary.cambridge.org/grammar/british-grammar/relative	scaricato
Infinitives	wiki/raw/chapter-11-inglese/purdue-owl-infinitives.html	https://owl.purdue.edu/owl/general_writing/mechanics/gerunds_participles_and_infinitives/infinitives.html	scaricato
Gerunds, participles, infinitives	wiki/raw/chapter-11-inglese/purdue-owl-gerunds-participles-infinitives.html	https://owl.purdue.edu/owl/general_writing/mechanics/gerunds_participles_and_infinitives/comparing_gerunds_participles_and_infinitives.html	scaricato
Prepositions to/on/in	wiki/raw/chapter-11-inglese/purdue-owl-prepositions-to-on-in.html	https://owl.purdue.edu/owl/general_writing/grammar/prepositions/to_on_in.html	scaricato
Relative pronouns	wiki/raw/chapter-11-inglese/purdue-relative-pronouns.html	https://owl.purdue.edu/owl/general_writing/grammar/relative_pronouns/index.html	scaricato
Modals resource page	wiki/raw/chapter-11-inglese/americanenglish-modals-resource-page.html	https://americanenglish.state.gov/resources/week-1-meanings-modals-classroom-rules	scaricato
Simple and phrasal modals	wiki/raw/chapter-11-inglese/americanenglish-modals-week-2.pdf	https://americanenglish.state.gov/files/ae/resource_files/august_teachers_corner_modals_week_2.pdf	scaricato
Adjectives and adverbs	wiki/raw/chapter-11-inglese/americanenglish-adjectives-adverbs.pdf	https://americanenglish.state.gov/files/ae/resource_files/january_2017_week_3_final.pdf	scaricato
